Pos	Strand	Score
-989500	+	11.9790
-988998	+	8.3477
-988679	+	5.4967
-988596	+	8.7834
-988132	+	7.4429
-988124	-	8.6104
-988109	+	7.0351
-987988	+	6.1022
-987971	+	9.2514
-987776	-	5.0876
-987706	+	6.3107
-987587	-	6.5175
-987421	+	7.3609
-987324	+	11.3086
-987029	-	5.3208
-986951	-	5.1244
-986866	+	9.2451
-986695	+	6.7788
-986670	-	7.0351
-986540	-	6.7738
-986295	-	9.2514
-986195	+	5.7870
-986133	-	6.9191
-986126	+	9.2514
-986004	+	6.9812
-985944	-	5.4304
-985759	+	8.0853
-985720	-	15.3846
-985461	-	5.8459
-985361	-	5.1141
-985085	-	5.3208
-985055	-	5.3577
-984986	+	5.7870
-984852	-	8.4931
-984696	+	7.1879
-984507	+	6.0483
-984211	+	6.4574
-984150	-	5.9924
-984127	-	5.9924
-983992	+	5.4967
-983885	+	6.1022
-983400	+	5.3778
-983369	+	5.5833
-983153	+	7.3903
-983149	+	6.2487
-983115	-	5.7870
-983062	-	14.7141
-983023	-	9.0447
-983014	-	9.2451
-982774	+	5.3778
-982611	-	7.1879
-982594	+	8.7263
-982363	+	5.0337
-982248	-	5.9924
-982189	-	10.5566
-982099	-	5.3577
-982092	+	9.2348
-981829	-	8.7834
-981818	-	5.8459
-981718	+	6.2550
-981506	+	5.8396
-981452	+	11.9790
-981431	+	5.6127
-981360	-	5.7299
-980519	-	6.2487
-980397	+	5.8459
-980124	-	9.2514
-980085	-	5.7591
-980005	+	5.3208
-979767	-	6.1643
-979047	+	9.4538
-978427	+	5.8459
-978312	-	8.9826
-978218	-	8.5810
-978215	+	5.5846
-978125	-	6.7788
-978122	+	6.3107
-977854	-	5.3778
-977811	-	8.7263
-977709	+	5.1141
-977579	+	6.4296
-977401	+	5.6392
-977264	+	5.9924
-977161	+	6.7801
-976221	-	12.9132
-976029	-	6.3544
-976016	+	9.0447
-975410	-	5.3208
-975391	-	7.1879
-975269	+	5.3778
-975154	+	11.9790
-975052	-	9.2514
-974776	-	8.2012
-974175	-	5.8396
-973903	-	9.2514
-973750	+	5.7591
-973654	+	6.6628
-973144	-	5.9029
-972904	-	7.4429
-972363	+	9.9155
-971497	-	7.1713
-971090	-	5.3577
-970964	+	7.1879
-970888	+	5.0950
-970837	-	7.8290
-970815	-	5.9924
-970797	-	5.5587
-970674	+	6.1097
-970527	-	7.9386
-970524	+	6.4267
-970511	+	8.7263
-970453	+	5.4938
-970321	+	5.9924
-970309	+	10.1793
-970293	-	7.8290
